,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,training,JobSatisfaction,PerformanceRating,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,TrainingTimesLastYear
0,33,Travel_Rarely,576,Research & Development,27,1,133,21280,17024,Laboratory Technician,16,Sales,1,03-1933576,2,F,3,6,5,5,0,No,18,1,32,4,19,7,12,0,1,2.93294702
1,56,Travel_Frequently,695,Human Resources,9,5,147,23520,18816,Human Resources,14,Other,1,55-0827682,4,M,4,1,1,1,7,No,21,3,25,3,7,10,4,12,1,2.93294702
2,37,Non-Travel,1424,Sales,24,2,89,14240,11392,Manager,14,Life Sciences,1,75-3156735,2,F,2,6,5,5,5,No,21,1,11,4,20,13,8,14,0,2.93294702
3,20,Travel_Frequently,187,Sales,31,2,91,14560,11648,Human Resources,14,Sales,1,55-2677679,4,M,2,1,1,1,1,No,25,0,22,3,40,17,3,3,0,2.93294702
4,33,Travel_Rarely,796,Research & Development,5,4,103,16480,13184,Research Director,16,Sales,1,89-7525549,3,M,3,1,1,1,4,No,21,2,36,4,6,12,1,11,1,2.93294702
5,27,Non-Travel,1185,Human Resources,16,4,141,22560,18048,Sales Executive,16,Medical,1,18-8429383,3,F,4,4,5,2,4,No,23,2,6,3,0,11,10,14,1,2.93294702
6,49,Non-Travel,909,Human Resources,37,4,75,12000,9600,Research Director,20,Technical Degree,1,53-5268802,2,M,4,0,1,1,7,No,24,3,23,3,6,20,8,13,1,2.93294702
7,51,Non-Travel,1128,Sales,50,1,71,11360,9088,Laboratory Technician,16,Sales,1,20-5511121,1,M,3,2,2,2,7,No,12,0,40,2,27,11,12,5,1,2.93294702
8,36,Travel_Frequently,1420,Sales,24,3,38,6080,4864,Sales Representative,18,Life Sciences,1,96-2468355,3,F,3,2,2,2,8,No,25,1,40,1,14,13,12,11,0,2.93294702
9,28,Travel_Rarely,190,Research & Development,35,1,68,10880,8704,Sales Representative,16,Human Resources,1,74-5248035,1,M,3,1,1,1,7,No,24,0,3,3,29,9,15,3,0,2.93294702
